locus_tag	ftype	length_bp	gene	EC_number	COG	product
KAGFDIAF_00926	CDS	297				hypothetical protein
KAGFDIAF_00927	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
KAGFDIAF_00928	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
KAGFDIAF_00929	CDS	954	tal_1	2.2.1.2		Transaldolase
KAGFDIAF_00930	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
KAGFDIAF_00931	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
KAGFDIAF_00932	CDS	714				hypothetical protein
KAGFDIAF_00933	CDS	405				hypothetical protein
KAGFDIAF_00934	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
KAGFDIAF_00935	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
KAGFDIAF_00936	CDS	1275	yadC			putative fimbrial-like protein YadC
KAGFDIAF_00937	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
KAGFDIAF_00938	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
KAGFDIAF_00939	CDS	903				ISNCY family transposase ISSen7
KAGFDIAF_00940	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
KAGFDIAF_00941	CDS	1230				hypothetical protein
KAGFDIAF_00942	CDS	441				hypothetical protein
KAGFDIAF_00943	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
KAGFDIAF_00944	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
KAGFDIAF_00945	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
KAGFDIAF_00946	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
KAGFDIAF_00947	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
KAGFDIAF_00948	CDS	1551	cueO		COG2132	Blue copper oxidase CueO
KAGFDIAF_00949	CDS	309				hypothetical protein
KAGFDIAF_00950	CDS	867	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
KAGFDIAF_00951	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
KAGFDIAF_00952	CDS	363				hypothetical protein
KAGFDIAF_00953	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
KAGFDIAF_00954	CDS	1854				hypothetical protein
KAGFDIAF_00955	CDS	885	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
KAGFDIAF_00956	CDS	1299	kgtP			Alpha-ketoglutarate permease
KAGFDIAF_00957	CDS	273				hypothetical protein
KAGFDIAF_00958	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
KAGFDIAF_00959	CDS	2661	patZ	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase PatZ
KAGFDIAF_00960	CDS	699				hypothetical protein
KAGFDIAF_00961	CDS	420	trxC	1.8.1.8	COG0526	Thioredoxin 2
KAGFDIAF_00962	CDS	1038	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
KAGFDIAF_00963	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
KAGFDIAF_00964	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
KAGFDIAF_00965	CDS	588	eamB		COG1280	Cysteine/O-acetylserine efflux protein
KAGFDIAF_00966	CDS	882	cmpR			HTH-type transcriptional activator CmpR
KAGFDIAF_00967	CDS	1335	srmB	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
KAGFDIAF_00968	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
KAGFDIAF_00969	CDS	1623	nadB	1.4.3.16	COG0029	L-aspartate oxidase
KAGFDIAF_00970	CDS	576	rpoE		COG1595	ECF RNA polymerase sigma-E factor
KAGFDIAF_00971	CDS	651	rseA		COG3073	Anti-sigma-E factor RseA
KAGFDIAF_00972	CDS	957	rseB		COG3026	Sigma-E factor regulatory protein RseB
KAGFDIAF_00973	CDS	480	rseC		COG3086	Protein RseC
KAGFDIAF_00974	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
KAGFDIAF_00975	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
KAGFDIAF_00976	CDS	306	gfcA			Threonine-rich inner membrane protein GfcA
KAGFDIAF_00977	CDS	645	gfcB			putative lipoprotein GfcB
KAGFDIAF_00978	CDS	747				hypothetical protein
KAGFDIAF_00979	CDS	2097				hypothetical protein
KAGFDIAF_00980	CDS	1161				hypothetical protein
KAGFDIAF_00981	CDS	447	etp	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase Etp
KAGFDIAF_00982	CDS	2181	etk	2.7.10.-	COG0489	Tyrosine-protein kinase etk
KAGFDIAF_00983	CDS	1299	appA			Periplasmic AppA protein
KAGFDIAF_00984	CDS	93	appX			Putative cytochrome bd-II ubiquinol oxidase subunit AppX
KAGFDIAF_00985	CDS	1137	appB	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
KAGFDIAF_00986	CDS	1545	appC	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
KAGFDIAF_00987	CDS	858				hypothetical protein
KAGFDIAF_00988	CDS	399	hyaE			Hydrogenase-1 operon protein HyaE
KAGFDIAF_00989	CDS	588	hyaD	3.4.23.-	COG0680	Hydrogenase 1 maturation protease
KAGFDIAF_00990	CDS	708	hyaC		COG1969	putative Ni/Fe-hydrogenase 1 B-type cytochrome subunit
KAGFDIAF_00991	CDS	1794	hyaB	1.12.99.6	COG0374	Hydrogenase-1 large chain
KAGFDIAF_00992	CDS	1119	hyaA	1.12.99.6	COG1740	Hydrogenase-1 small chain
KAGFDIAF_00993	tRNA	88				tRNA-Ser(tga)
KAGFDIAF_00994	CDS	660	yccA		COG0670	Modulator of FtsH protease YccA
KAGFDIAF_00995	CDS	330	tusE	2.8.1.-	COG2920	Sulfurtransferase TusE
KAGFDIAF_00996	CDS	279	yccX	3.6.1.7	COG1254	Acylphosphatase
KAGFDIAF_00997	CDS	1176	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
KAGFDIAF_00998	CDS	318	hspQ		COG3785	Heat shock protein HspQ
KAGFDIAF_00999	CDS	414	yccU		COG1832	putative protein YccU
KAGFDIAF_01000	CDS	963	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase isozyme 1
KAGFDIAF_01001	CDS	903	fieF		COG0053	Ferrous-iron efflux pump FieF
KAGFDIAF_01002	CDS	501	cpxP		COG3678	Periplasmic protein CpxP
KAGFDIAF_01003	CDS	699	cpxR		COG0745	Transcriptional regulatory protein CpxR
KAGFDIAF_01004	CDS	1374	cpxA	2.7.13.3		Sensor histidine kinase CpxA
KAGFDIAF_01005	CDS	675	yiiM		COG2258	Protein YiiM
KAGFDIAF_01006	CDS	984	kdgT			2-keto-3-deoxygluconate permease
KAGFDIAF_01007	CDS	621	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
KAGFDIAF_01008	CDS	1035	rhaT		COG0697	L-rhamnose-proton symporter
KAGFDIAF_01009	CDS	939	rhaR_2			HTH-type transcriptional activator RhaR
KAGFDIAF_01010	CDS	837	rhaS_1			HTH-type transcriptional activator RhaS
KAGFDIAF_01011	CDS	1470	rhaB	2.7.1.5		Rhamnulokinase
KAGFDIAF_01012	CDS	1260	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
KAGFDIAF_01013	CDS	825	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
KAGFDIAF_01014	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
KAGFDIAF_01015	CDS	1395				hypothetical protein
KAGFDIAF_01016	CDS	447	fruA_2		COG1299	PTS system fructose-specific EIIABC component
KAGFDIAF_01017	CDS	1452	manP_1		COG1299	PTS system mannose-specific EIIBCA component
KAGFDIAF_01018	CDS	1071	ysdC_1	3.4.11.-	COG1363	Putative aminopeptidase YsdC
KAGFDIAF_01019	CDS	216				hypothetical protein
KAGFDIAF_01020	CDS	270				hypothetical protein
KAGFDIAF_01021	CDS	210	cspE			Cold shock-like protein CspE
KAGFDIAF_01022	CDS	384	crcB		COG0239	Putative fluoride ion transporter CrcB
KAGFDIAF_01023	CDS	789	ybeM	3.5.1.128		Deaminated glutathione amidase
KAGFDIAF_01024	CDS	204	tatE		COG1826	Sec-independent protein translocase protein TatE
KAGFDIAF_01025	CDS	966	lipA	2.8.1.8	COG0320	Lipoyl synthase
KAGFDIAF_01026	CDS	255				hypothetical protein
KAGFDIAF_01027	CDS	573	ybdO			putative HTH-type transcriptional regulator YbdO
KAGFDIAF_01028	CDS	642	lipB	2.3.1.181	COG0321	Octanoyltransferase
KAGFDIAF_01029	CDS	264				hypothetical protein
KAGFDIAF_01030	CDS	1212	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
KAGFDIAF_01031	CDS	1089	rlpA	4.2.2.-	COG0797	Endolytic peptidoglycan transglycosylase RlpA
KAGFDIAF_01032	CDS	1113	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
KAGFDIAF_01033	CDS	1902	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
KAGFDIAF_01034	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
KAGFDIAF_01035	CDS	318	rsfS		COG0799	Ribosomal silencing factor RsfS
KAGFDIAF_01036	CDS	612	cobC	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
KAGFDIAF_01037	CDS	642	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
KAGFDIAF_01038	CDS	1032	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
KAGFDIAF_01039	CDS	582	lptE		COG2980	LPS-assembly lipoprotein LptE
KAGFDIAF_01040	CDS	2583	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
KAGFDIAF_01041	CDS	483				hypothetical protein
KAGFDIAF_01042	CDS	393	hcpA	3.5.2.6	COG0790	Beta-lactamase HcpA
KAGFDIAF_01043	CDS	513	esiB			Secretory immunoglobulin A-binding protein EsiB
KAGFDIAF_01044	CDS	708				hypothetical protein
KAGFDIAF_01045	CDS	162				hypothetical protein
KAGFDIAF_01046	CDS	1140				hypothetical protein
KAGFDIAF_01047	CDS	186	hscC		COG0443	Chaperone protein HscC
KAGFDIAF_01048	CDS	927	yihR		COG2017	putative protein YihR
KAGFDIAF_01049	CDS	1890	yihQ	3.2.1.199	COG1501	Sulfoquinovosidase
KAGFDIAF_01050	CDS	1386	yihP_1		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
KAGFDIAF_01051	CDS	1404	yihP_2		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
KAGFDIAF_01052	CDS	759	ompL			Porin OmpL
KAGFDIAF_01053	CDS	1266	yihN			Inner membrane protein YihN
KAGFDIAF_01054	CDS	981				hypothetical protein
KAGFDIAF_01055	CDS	711	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
KAGFDIAF_01056	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
KAGFDIAF_01057	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
KAGFDIAF_01058	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
KAGFDIAF_01059	CDS	1410	glnG		COG2204	DNA-binding transcriptional regulator NtrC
KAGFDIAF_01060	CDS	111	yshB			putative protein YshB
KAGFDIAF_01061	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
KAGFDIAF_01062	CDS	510	yihI		COG3078	Der GTPase-activating protein YihI
KAGFDIAF_01063	CDS	633	engB		COG0218	putative GTP-binding protein EngB
KAGFDIAF_01064	CDS	1137	polA	2.7.7.7	COG0258	DNA polymerase I
KAGFDIAF_01065	CDS	204	hcaD	1.18.1.3	COG0446	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component
KAGFDIAF_01066	CDS	423	yphA		COG2259	Inner membrane protein YphA
KAGFDIAF_01067	CDS	873	yphB		COG2017	putative protein YphB
KAGFDIAF_01068	CDS	1062	tdh_2	1.1.1.103		L-threonine 3-dehydrogenase
KAGFDIAF_01069	CDS	999	rbsC_1		COG1172	Ribose import permease protein RbsC
KAGFDIAF_01070	CDS	1512	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
KAGFDIAF_01071	CDS	984	yphF		COG1879	ABC transporter periplasmic-binding protein YphF
KAGFDIAF_01072	CDS	3282	lapB_1			Lipopolysaccharide assembly protein B
KAGFDIAF_01073	CDS	1194	mlc_1		COG1940	Protein mlc
KAGFDIAF_01074	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
KAGFDIAF_01075	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
KAGFDIAF_01076	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
KAGFDIAF_01077	CDS	1335	qseF		COG2204	Transcriptional regulatory protein QseF
KAGFDIAF_01078	CDS	714	qseG			Quorum-sensing regulator protein G
KAGFDIAF_01079	CDS	1383	qseE	2.7.13.3		Sensor histidine kinase QseE
KAGFDIAF_01080	CDS	2793	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
KAGFDIAF_01081	CDS	837	ftsA_1			Cell division protein FtsA
KAGFDIAF_01082	CDS	1188	mdh_1	1.1.1.244		NAD-dependent methanol dehydrogenase
KAGFDIAF_01083	CDS	1227				hypothetical protein
KAGFDIAF_01084	CDS	1404				hypothetical protein
KAGFDIAF_01085	CDS	1362	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
KAGFDIAF_01086	CDS	888	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
KAGFDIAF_01087	CDS	660	eutL		COG4816	Ethanolamine utilization protein EutL
KAGFDIAF_01088	CDS	501	eutK		COG4577	Ethanolamine utilization protein EutK
KAGFDIAF_01089	CDS	1053				hypothetical protein
KAGFDIAF_01090	CDS	900	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
KAGFDIAF_01091	CDS	870	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
KAGFDIAF_01092	CDS	426	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
KAGFDIAF_01093	CDS	450	yfeZ			Inner membrane protein YfeZ
KAGFDIAF_01094	CDS	576	yfeY			putative protein YfeY
KAGFDIAF_01095	CDS	900	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
KAGFDIAF_01096	CDS	1425	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
KAGFDIAF_01097	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
KAGFDIAF_01098	CDS	858	murR_1		COG1737	HTH-type transcriptional regulator MurR
KAGFDIAF_01099	CDS	792	ucpA	1.-.-.-		Oxidoreductase UcpA
KAGFDIAF_01100	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
KAGFDIAF_01101	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
KAGFDIAF_01102	CDS	282				hypothetical protein
KAGFDIAF_01103	CDS	477	rsd		COG3160	Regulator of sigma D
KAGFDIAF_01104	CDS	1896	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
KAGFDIAF_01105	CDS	636	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
KAGFDIAF_01106	CDS	756	thiF	2.7.7.73	COG0476	Sulfur carrier protein ThiS adenylyltransferase
KAGFDIAF_01107	CDS	201	thiS		COG2104	Sulfur carrier protein ThiS
KAGFDIAF_01108	CDS	771	thiG	2.8.1.10	COG2022	Thiazole synthase
KAGFDIAF_01109	CDS	1134	thiH	4.1.99.19	COG1060	2-iminoacetate synthase
KAGFDIAF_01110	CDS	540	htrC			Heat shock protein C
KAGFDIAF_01111	CDS	4224	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
KAGFDIAF_01112	CDS	4029	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
KAGFDIAF_01113	CDS	366	rplL		COG0222	50S ribosomal protein L7/L12
KAGFDIAF_01114	CDS	498	rplJ		COG0244	50S ribosomal protein L10
KAGFDIAF_01115	CDS	705	rplA		COG0081	50S ribosomal protein L1
KAGFDIAF_01116	CDS	429	rplK		COG0080	50S ribosomal protein L11
KAGFDIAF_01117	CDS	546	nusG		COG0250	Transcription termination/antitermination protein NusG
KAGFDIAF_01118	CDS	384	secE		COG0690	Protein translocase subunit SecE
KAGFDIAF_01119	CDS	405	tufB		COG0050	Elongation factor Tu 2
KAGFDIAF_01120	CDS	1350	qseC	2.7.13.3		Sensor protein QseC
KAGFDIAF_01121	CDS	660	qseB			Transcriptional regulatory protein QseB
KAGFDIAF_01122	CDS	393	ygiW_1		COG3111	Protein YgiW
KAGFDIAF_01123	CDS	483	sbmC_1			DNA gyrase inhibitor
KAGFDIAF_01124	CDS	297	mqsR	3.1.-.-		mRNA interferase toxin MqsR
KAGFDIAF_01125	CDS	396	mqsA		COG1396	Antitoxin MqsA
KAGFDIAF_01126	CDS	1608	ygiS		COG4166	putative deoxycholate-binding periplasmic protein YgiS
KAGFDIAF_01127	CDS	2259	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
KAGFDIAF_01128	CDS	738	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
KAGFDIAF_01129	CDS	1413	ftsP		COG2132	Cell division protein FtsP
KAGFDIAF_01130	CDS	2220				hypothetical protein
KAGFDIAF_01131	CDS	258	lpp1			Major outer membrane lipoprotein Lpp 1
KAGFDIAF_01132	CDS	927				hypothetical protein
KAGFDIAF_01133	CDS	828	dkgA	1.1.1.274	COG0656	2,5-diketo-D-gluconic acid reductase A
KAGFDIAF_01134	CDS	1164	yqhD	1.1.1.-	COG1979	Alcohol dehydrogenase YqhD
KAGFDIAF_01135	CDS	957	rhaS_2			HTH-type transcriptional activator RhaS
KAGFDIAF_01136	CDS	660	yghB		COG0586	Inner membrane protein YghB
KAGFDIAF_01137	CDS	1188	metC	4.4.1.13	COG0626	Cystathionine beta-lyase MetC
KAGFDIAF_01138	CDS	111				hypothetical protein
KAGFDIAF_01139	CDS	720	hyfC	1.-.-.-	COG0650	Hydrogenase-4 component C
KAGFDIAF_01140	CDS	2019	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
KAGFDIAF_01141	CDS	618	hyfA_4	1.-.-.-	COG1142	Hydrogenase-4 component A
KAGFDIAF_01142	CDS	471	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
KAGFDIAF_01143	CDS	573	gcvR		COG2716	Glycine cleavage system transcriptional repressor
KAGFDIAF_01144	CDS	879	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
KAGFDIAF_01145	CDS	1035	bamC		COG3317	Outer membrane protein assembly factor BamC
KAGFDIAF_01146	CDS	231				hypothetical protein
KAGFDIAF_01147	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
KAGFDIAF_01148	CDS	864			COG2321	putative protein
KAGFDIAF_01149	CDS	2016	tmcA	2.3.1.193	COG1444	tRNA(Met) cytidine acetyltransferase TmcA
KAGFDIAF_01150	CDS	699				hypothetical protein
KAGFDIAF_01151	CDS	201				hypothetical protein
KAGFDIAF_01152	CDS	1128	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
KAGFDIAF_01153	CDS	357	yffB		COG1393	Protein YffB
KAGFDIAF_01154	CDS	3114	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
KAGFDIAF_01155	CDS	1701	narQ	2.7.13.3		Nitrate/nitrite sensor protein NarQ
KAGFDIAF_01156	CDS	687				hypothetical protein
KAGFDIAF_01157	CDS	531	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
KAGFDIAF_01158	CDS	342	ytfP		COG2105	Gamma-glutamylcyclotransferase family protein YtfP
KAGFDIAF_01159	CDS	3780	tamB		COG2911	Translocation and assembly module subunit TamB
KAGFDIAF_01160	CDS	1734	tamA		COG0729	Translocation and assembly module subunit TamA
KAGFDIAF_01161	CDS	639	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
KAGFDIAF_01162	CDS	1344				hypothetical protein
KAGFDIAF_01163	CDS	207				hypothetical protein
KAGFDIAF_01164	CDS	558	ytfJ_1		COG3054	putative protein YtfJ
KAGFDIAF_01165	CDS	741	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
KAGFDIAF_01166	CDS	1944	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
KAGFDIAF_01167	CDS	381				hypothetical protein
KAGFDIAF_01168	CDS	861	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
KAGFDIAF_01169	CDS	966	ytfF			Inner membrane protein YtfF
KAGFDIAF_01170	CDS	663	ytfE		COG2846	Iron-sulfur cluster repair protein YtfE
KAGFDIAF_01171	CDS	1413	cycA		COG1113	D-serine/D-alanine/glycine transporter
KAGFDIAF_01172	CDS	621	fklB	5.2.1.8	COG0545	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
KAGFDIAF_01173	CDS	639				hypothetical protein
KAGFDIAF_01174	CDS	327				hypothetical protein
KAGFDIAF_01175	CDS	1272	yhjV		COG0814	Inner membrane transport protein YhjV
KAGFDIAF_01176	CDS	1005	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
KAGFDIAF_01177	CDS	984	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
KAGFDIAF_01178	CDS	903	dppC		COG1173	Dipeptide transport system permease protein DppC
KAGFDIAF_01179	CDS	1020	dppB		COG0601	Dipeptide transport system permease protein DppB
KAGFDIAF_01180	CDS	1608	dppA		COG0747	Periplasmic dipeptide transport protein
KAGFDIAF_01181	tRNA	77				tRNA-Pro(cgg)
KAGFDIAF_01182	CDS	1692	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
KAGFDIAF_01183	CDS	1209	yhjX			putative MFS-type transporter YhjX
KAGFDIAF_01184	CDS	699				hypothetical protein
KAGFDIAF_01185	CDS	564	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
KAGFDIAF_01186	CDS	441	yiaC	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YiaC
KAGFDIAF_01187	CDS	2334	bisC	1.-.-.-	COG0243	Biotin sulfoxide reductase
KAGFDIAF_01188	CDS	660	yiaD		COG2885	putative lipoprotein YiaD
KAGFDIAF_01189	CDS	975	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
KAGFDIAF_01190	CDS	711				hypothetical protein
KAGFDIAF_01191	CDS	291				hypothetical protein
KAGFDIAF_01192	CDS	213	cspA		COG1278	Cold shock protein CspA
KAGFDIAF_01193	CDS	153	hokA			Protein HokA
KAGFDIAF_01194	CDS	1662	yqiK		COG2268	Inner membrane protein YqiK
KAGFDIAF_01195	CDS	630	yqiJ			Inner membrane protein YqiJ
KAGFDIAF_01196	CDS	201	glgS			Surface composition regulator
KAGFDIAF_01197	CDS	1065				hypothetical protein
KAGFDIAF_01198	CDS	750	papD_1		COG3121	Chaperone protein PapD
KAGFDIAF_01199	CDS	2505	papC_1		COG3188	Outer membrane usher protein PapC
KAGFDIAF_01200	CDS	552	ybgD_1			putative fimbrial-like protein YbgD
KAGFDIAF_01201	CDS	291	ubiK		COG2960	Ubiquinone biosynthesis accessory factor UbiK
KAGFDIAF_01202	CDS	654	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
KAGFDIAF_01203	CDS	171	yqiD			Protein YqiD
KAGFDIAF_01204	CDS	774	zupT		COG0428	Zinc transporter ZupT
KAGFDIAF_01205	CDS	816	ygiD	1.13.11.29	COG3384	4,5-DOPA dioxygenase extradiol
KAGFDIAF_01206	CDS	1161	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
KAGFDIAF_01207	CDS	672				hypothetical protein
KAGFDIAF_01208	CDS	1482	tolC		COG1538	Outer membrane protein TolC
KAGFDIAF_01209	CDS	630	nudF	3.6.1.13		ADP-ribose pyrophosphatase
KAGFDIAF_01210	CDS	423				hypothetical protein
KAGFDIAF_01211	CDS	828	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
KAGFDIAF_01212	CDS	582				hypothetical protein
KAGFDIAF_01213	CDS	1893	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
KAGFDIAF_01214	CDS	315	ygiN	1.-.-.-	COG1359	putative quinol monooxygenase YgiN
KAGFDIAF_01215	CDS	2502	fryA_2		COG1080	Multiphosphoryl transfer protein 1
KAGFDIAF_01216	CDS	1080	manP_2		COG1299	PTS system mannose-specific EIIBCA component
KAGFDIAF_01217	CDS	321	fryB_2	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
KAGFDIAF_01218	CDS	2298	cutC_1	4.3.99.4	COG1882	Choline trimethylamine-lyase
KAGFDIAF_01219	CDS	879	bssD	1.97.1.-		Benzylsuccinate synthase activating enzyme
KAGFDIAF_01220	CDS	342	frwD	2.7.1.202	COG1445	PTS system fructose-like EIIB component 3
KAGFDIAF_01221	CDS	852	rhaS_3			HTH-type transcriptional activator RhaS
KAGFDIAF_01222	CDS	1734	eptC	2.7.-.-	COG2194	Phosphoethanolamine transferase EptC
KAGFDIAF_01223	CDS	2652	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
KAGFDIAF_01224	CDS	1152	argE_2	3.5.1.16	COG0624	Acetylornithine deacetylase
KAGFDIAF_01225	CDS	900	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
KAGFDIAF_01226	CDS	777	argB	2.7.2.8	COG0548	Acetylglutamate kinase
KAGFDIAF_01227	CDS	1374	argH	4.3.2.1	COG0165	Argininosuccinate lyase
KAGFDIAF_01228	CDS	918	oxyR_1			Hydrogen peroxide-inducible genes activator
KAGFDIAF_01229	CDS	327	sthA	1.6.1.1	COG1249	Soluble pyridine nucleotide transhydrogenase
KAGFDIAF_01230	CDS	543				hypothetical protein
KAGFDIAF_01231	CDS	1203	pncC_1	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
KAGFDIAF_01232	CDS	783	rhmR		COG1414	putative HTH-type transcriptional regulator RhmR
KAGFDIAF_01233	CDS	1206	rhmD	4.2.1.90	COG4948	L-rhamnonate dehydratase
KAGFDIAF_01234	CDS	1290	rhmT			Inner membrane transport protein RhmT
KAGFDIAF_01235	CDS	804	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
KAGFDIAF_01236	CDS	903				ISNCY family transposase ISSen7
KAGFDIAF_01237	CDS	1191	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
KAGFDIAF_01238	CDS	1260	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
KAGFDIAF_01239	CDS	1629	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
KAGFDIAF_01240	CDS	1359	glpT		COG2271	Glycerol-3-phosphate transporter
